NAME,STATE,COUNTY,B01001_001E,B01001_002E,B01001_026E,B01001A_001E,B01001A_002E,B01001A_017E,B01001A_001E,B01001B_002E,B01001A_017E,B01001C_001E,B01001C_002E,B01001C_017E,B01001D_001E,B01001D_002E,B01001D_017E,B01001F_001E,B01001F_002E,B01001F_017E,B01001G_001E,B01001G_002E,B01001G_017E,B01001H_001E,B01001H_002E,B01001H_017E,B01001I_001E,B01001I_002E,B01001I_017E,B01002_001E,B01002A_001E,B01002B_001E,B01002C_001E,B01002D_001E,B01002F_001E,B01002G_001E,B01002H_001E,B01002I_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02013_001E,B02018_008E,B03001_004E,B03001_005E,B03001_008E,B03001_016E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_018E,B03002_019E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,B05002_003E,B05006_124E,B05006_139E,B05010_001E,B05010_002E,B05010_007E,B05010_010E,B05010_015E,B05010_018E,B05010_023E,B05011_002E,B05011_003E,B05011_004E,B05011_005E,B05012_003E,B05013_002E,B05013_021E,B06002_001E,B06002_002E,B06002_003E,B06002_005E,B06004A_002E,B06004B_002E,B06004C_002E,B06004D_002E,B06004F_002E,B06004G_002E,B06004H_002E,B06004I_002E,B06008_002E,B06008_003E,B06008_004E,B06008_005E,B06008_006E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06011_001E,B06011_002E,B06011_003E,B06011_005E,B06012_001E,B06012_002E,B06012_003E,B06012_003E,B06012_018E,B06012_019E,B06012_020E,B07001_017E,B07001_018E,B07001_019E,B07001_020E,ucgid,B01001_001P,B01001_002P,B01001_026P,B01001A_001P,B01001A_002P,B01001A_017P,B01001A_001P,B01001A_017P,B01001C_001P,B01001C_002P,B01001C_017P,B01001D_001P,B01001D_002P,B01001D_017P,B01001F_001P,B01001F_002P,B01001F_017P,B01001G_001P,B01001G_002P,B01001G_017P,B01001H_001P,B01001H_002P,B01001H_017P,B01001I_001P,B01001I_002P,B01001I_017P,B01002_001P,B01002A_001P,B01002B_001P,B01002C_001P,B01002D_001P,B01002F_001P,B01002G_001P,B01002H_001P,B01002I_001P,B02008_001P,B02009_001P,B02010_001P,B02011_001P,B02013_001P,B05010_001P,B05010_002P,B05010_007P,B05010_010P,B05010_015P,B05010_018P,B05010_023P,B06002_001P,B06002_002P,B06002_003P,B06002_005P,B06011_001P,B06011_002P,B06011_003P,B06011_005P,B06012_001P,B06012_002P,B06012_003P,B06012_003P,B06012_018P,B06012_019P,B06012_020P
"Census Tract 8, Routt County, Colorado",08,107,2118,1102,1016,1966,1003,963,1966,2,963,7,0,7,13,4,9,124,93,31,0,0,0,1875,976,899,161,90,71,42.9,43.7,-666666666.0,-666666666.0,27.5,16.7,-666666666.0,43.6,16.9,1966,3,7,13,124,0,38,0,11,13,91,0,7,0,63,0,2028,9,12,18,51,967,13,0,431,55,30,54,0,322,16,51,18,0,11,69,50,19,42.9,25.6,51.2,17.0,877,0,7,4,79,0,819,92,390,1105,203,12,70,390,379,399,234,32246,26321,36928,-666666666,2116,304,57,57,39,0,30,1656,31,300,76,1400000US08107000800,100%,52%,48%,100%,51%,49%,100%,49%,100%,0%,100%,100%,30.8%,69.2%,100%,75%,25%,NaN%,NaN%,NaN%,100%,52.1%,47.9%,100%,55.9%,44.1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,12.8%,7%,12.5%,0%,74.7%,3.7%,100%,59.7%,119.3%,39.6%,100%,81.6%,114.5%,-2067439.9%,100%,14.4%,2.7%,2.7%,1.8%,0%,1.4%
"Routt County (part), Hayden town, Colorado",08,107,1791,955,836,1619,883,736,1619,7,736,65,18,47,6,5,1,13,7,6,81,35,46,1429,802,627,231,99,132,41.8,45.3,-666666666.0,13.9,-666666666.0,-666666666.0,19.1,42.7,47.2,1700,30,111,18,13,1,178,16,0,0,190,0,5,0,13,23,1723,0,28,12,28,875,6,6,385,32,4,126,49,227,36,28,12,0,5,40,16,24,41.8,36.8,48.4,41.9,807,7,5,0,0,56,649,186,414,777,167,17,137,453,486,150,101,31491,28963,34250,-666666666,1789,216,191,191,0,5,34,1499,73,258,61,1550000US0835070107,100%,53.3%,46.7%,100%,54.5%,45.5%,100%,45.5%,100%,27.7%,72.3%,100%,83.3%,16.7%,100%,53.8%,46.2%,100%,43.2%,56.8%,100%,56.1%,43.9%,100%,42.9%,57.1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,8.3%,1%,32.7%,12.7%,59%,9.4%,100%,88%,115.8%,100.2%,100%,92%,108.8%,-2117007%,100%,12.1%,10.7%,10.7%,0%,0.3%,1.9%
"Routt County (part), Oak Creek town, Colorado",08,107,894,490,404,832,463,369,832,6,369,26,4,22,7,0,7,7,7,0,10,10,0,811,460,351,28,10,18,36.6,36.9,58.0,7.4,-666666666.0,-666666666.0,-666666666.0,36.7,50.7,842,22,26,7,7,0,28,0,0,0,21,0,0,0,7,0,875,0,3,10,6,425,3,3,187,14,4,42,13,131,37,6,10,0,3,16,3,13,36.6,27.1,38.6,34.8,385,0,23,0,7,10,367,25,216,309,143,6,51,197,171,145,71,30673,30083,31080,-666666666,888,112,69,69,0,0,16,748,32,138,16,1550000US0855155107,100%,54.8%,45.2%,100%,55.6%,44.4%,100%,44.4%,100%,15.4%,84.6%,100%,0%,100%,100%,100%,0%,100%,100%,0%,100%,56.7%,43.3%,100%,35.7%,64.3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,7.5%,2.1%,22.5%,7%,70.1%,19.8%,100%,74%,105.5%,95.1%,100%,98.1%,101.3%,-2173464.2%,100%,12.6%,7.8%,7.8%,0%,0%,1.8%
"Routt County (part), Phippsburg CDP, Colorado",08,107,225,125,100,225,125,100,225,0,100,0,0,0,0,0,0,0,0,0,0,0,0,225,125,100,0,0,0,51.4,51.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4,-666666666.0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,161,0,0,28,0,0,0,0,28,18,0,0,0,0,0,0,0,51.4,55.4,37.7,-666666666.0,161,0,0,0,0,0,161,0,40,88,63,0,6,132,7,13,39,35492,35078,35882,-666666666,225,6,0,0,0,0,0,165,0,28,0,1550000US0858785107,100%,55.6%,44.4%,100%,55.6%,44.4%,100%,44.4%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,100%,55.6%,44.4%,NaN%,NaN%,NaN%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,NaN%,NaN%,NaN%,100%,0%,0%,0%,0%,100%,64.3%,100%,107.8%,73.3%,-1297016859.9%,100%,98.8%,101.1%,-1878357.6%,100%,2.7%,0%,0%,0%,0%,0%
"Routt County (part), Steamboat Springs city, Colorado",08,107,12777,6736,6041,12094,6345,5749,12094,144,5749,42,22,20,194,73,121,253,141,112,37,11,26,11229,5982,5247,1106,509,597,36.1,36.1,37.5,54.0,39.1,16.9,36.3,36.9,28.3,12120,185,56,205,253,0,802,20,39,35,865,0,22,0,219,0,11419,42,181,591,544,3590,360,267,2129,292,248,255,69,1582,207,544,591,108,101,1135,549,586,36.1,21.0,45.7,36.4,3376,8,22,0,166,18,2962,589,4913,4366,1418,107,398,1516,2271,3710,1583,33233,28648,35947,30657,12498,1425,696,696,202,134,791,10542,356,1543,98,1550000US0873825107,100%,52.7%,47.3%,100%,52.5%,47.5%,100%,47.5%,100%,52.4%,47.6%,100%,37.6%,62.4%,100%,55.7%,44.3%,100%,29.7%,70.3%,100%,53.3%,46.7%,100%,46%,54%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,13.7%,11.6%,12%,3.2%,74.3%,9.7%,100%,58.2%,126.6%,100.8%,100%,86.2%,108.2%,92.2%,100%,11.4%,5.6%,5.6%,1.6%,1.1%,6.3%
"Routt County (part), Yampa town, Colorado",08,107,452,254,198,409,224,185,409,0,185,0,0,0,11,3,8,27,27,0,0,0,0,382,213,169,54,38,16,46.9,51.1,-666666666.0,-666666666.0,27.5,3.7,-666666666.0,49.2,35.5,409,0,0,11,27,0,11,0,11,0,27,0,0,0,27,0,432,0,12,3,5,241,0,0,112,10,10,16,0,86,3,5,3,0,3,8,3,5,46.9,22.5,56.3,-666666666.0,211,0,0,3,27,0,203,35,71,216,49,0,22,133,55,55,21,25461,15469,38125,-666666666,452,48,29,29,0,0,8,344,6,63,21,1550000US0886475107,100%,56.2%,43.8%,100%,54.8%,45.2%,100%,45.2%,NaN%,NaN%,NaN%,100%,27.3%,72.7%,100%,100%,0%,NaN%,NaN%,NaN%,100%,55.8%,44.2%,100%,70.4%,29.6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,NaN%,100%,100%,100%,8.9%,8.9%,14.3%,0%,76.8%,2.7%,100%,48%,120%,-1421464106.6%,100%,60.8%,149.7%,-2618383.7%,100%,10.6%,6.4%,6.4%,0%,0%,1.8%
"Hayden town, Colorado",08,,1791,955,836,1619,883,736,1619,7,736,65,18,47,6,5,1,13,7,6,81,35,46,1429,802,627,231,99,132,41.8,45.3,-666666666.0,13.9,-666666666.0,-666666666.0,19.1,42.7,47.2,1700,30,111,18,13,1,178,16,0,0,190,0,5,0,13,23,1723,0,28,12,28,875,6,6,385,32,4,126,49,227,36,28,12,0,5,40,16,24,41.8,36.8,48.4,41.9,807,7,5,0,0,56,649,186,414,777,167,17,137,453,486,150,101,31491,28963,34250,-666666666,1789,216,191,191,0,5,34,1499,73,258,61,1600000US0835070,100%,53.3%,46.7%,100%,54.5%,45.5%,100%,45.5%,100%,27.7%,72.3%,100%,83.3%,16.7%,100%,53.8%,46.2%,100%,43.2%,56.8%,100%,56.1%,43.9%,100%,42.9%,57.1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,8.3%,1%,32.7%,12.7%,59%,9.4%,100%,88%,115.8%,100.2%,100%,92%,108.8%,-2117007%,100%,12.1%,10.7%,10.7%,0%,0.3%,1.9%
"Oak Creek town, Colorado",08,,894,490,404,832,463,369,832,6,369,26,4,22,7,0,7,7,7,0,10,10,0,811,460,351,28,10,18,36.6,36.9,58.0,7.4,-666666666.0,-666666666.0,-666666666.0,36.7,50.7,842,22,26,7,7,0,28,0,0,0,21,0,0,0,7,0,875,0,3,10,6,425,3,3,187,14,4,42,13,131,37,6,10,0,3,16,3,13,36.6,27.1,38.6,34.8,385,0,23,0,7,10,367,25,216,309,143,6,51,197,171,145,71,30673,30083,31080,-666666666,888,112,69,69,0,0,16,748,32,138,16,1600000US0855155,100%,54.8%,45.2%,100%,55.6%,44.4%,100%,44.4%,100%,15.4%,84.6%,100%,0%,100%,100%,100%,0%,100%,100%,0%,100%,56.7%,43.3%,100%,35.7%,64.3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,7.5%,2.1%,22.5%,7%,70.1%,19.8%,100%,74%,105.5%,95.1%,100%,98.1%,101.3%,-2173464.2%,100%,12.6%,7.8%,7.8%,0%,0%,1.8%
"Phippsburg CDP, Colorado",08,,225,125,100,225,125,100,225,0,100,0,0,0,0,0,0,0,0,0,0,0,0,225,125,100,0,0,0,51.4,51.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4,-666666666.0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,161,0,0,28,0,0,0,0,28,18,0,0,0,0,0,0,0,51.4,55.4,37.7,-666666666.0,161,0,0,0,0,0,161,0,40,88,63,0,6,132,7,13,39,35492,35078,35882,-666666666,225,6,0,0,0,0,0,165,0,28,0,1600000US0858785,100%,55.6%,44.4%,100%,55.6%,44.4%,100%,44.4%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,100%,55.6%,44.4%,NaN%,NaN%,NaN%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,NaN%,NaN%,NaN%,100%,0%,0%,0%,0%,100%,64.3%,100%,107.8%,73.3%,-1297016859.9%,100%,98.8%,101.1%,-1878357.6%,100%,2.7%,0%,0%,0%,0%,0%
"Steamboat Springs city, Colorado",08,,12777,6736,6041,12094,6345,5749,12094,144,5749,42,22,20,194,73,121,253,141,112,37,11,26,11229,5982,5247,1106,509,597,36.1,36.1,37.5,54.0,39.1,16.9,36.3,36.9,28.3,12120,185,56,205,253,0,802,20,39,35,865,0,22,0,219,0,11419,42,181,591,544,3590,360,267,2129,292,248,255,69,1582,207,544,591,108,101,1135,549,586,36.1,21.0,45.7,36.4,3376,8,22,0,166,18,2962,589,4913,4366,1418,107,398,1516,2271,3710,1583,33233,28648,35947,30657,12498,1425,696,696,202,134,791,10542,356,1543,98,1600000US0873825,100%,52.7%,47.3%,100%,52.5%,47.5%,100%,47.5%,100%,52.4%,47.6%,100%,37.6%,62.4%,100%,55.7%,44.3%,100%,29.7%,70.3%,100%,53.3%,46.7%,100%,46%,54%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,13.7%,11.6%,12%,3.2%,74.3%,9.7%,100%,58.2%,126.6%,100.8%,100%,86.2%,108.2%,92.2%,100%,11.4%,5.6%,5.6%,1.6%,1.1%,6.3%
"Yampa town, Colorado",08,,452,254,198,409,224,185,409,0,185,0,0,0,11,3,8,27,27,0,0,0,0,382,213,169,54,38,16,46.9,51.1,-666666666.0,-666666666.0,27.5,3.7,-666666666.0,49.2,35.5,409,0,0,11,27,0,11,0,11,0,27,0,0,0,27,0,432,0,12,3,5,241,0,0,112,10,10,16,0,86,3,5,3,0,3,8,3,5,46.9,22.5,56.3,-666666666.0,211,0,0,3,27,0,203,35,71,216,49,0,22,133,55,55,21,25461,15469,38125,-666666666,452,48,29,29,0,0,8,344,6,63,21,1600000US0886475,100%,56.2%,43.8%,100%,54.8%,45.2%,100%,45.2%,NaN%,NaN%,NaN%,100%,27.3%,72.7%,100%,100%,0%,NaN%,NaN%,NaN%,100%,55.8%,44.2%,100%,70.4%,29.6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,NaN%,100%,100%,100%,8.9%,8.9%,14.3%,0%,76.8%,2.7%,100%,48%,120%,-1421464106.6%,100%,60.8%,149.7%,-2618383.7%,100%,10.6%,6.4%,6.4%,0%,0%,1.8%
"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties PUMA; Colorado",08,,102937,52683,50254,93089,47728,45361,93089,511,45361,697,317,380,807,342,465,5733,2955,2778,1951,794,1157,78427,40146,38281,20860,10770,10090,37.2,38.7,35.7,38.7,38.8,24.6,21.7,41.9,26.1,94886,1332,1646,1175,6057,117,16965,334,949,444,14662,25,201,6,5536,421,90527,133,972,3339,7966,44144,8918,7663,24060,2500,1328,5724,2048,15836,2311,7966,3339,351,895,11305,5701,5604,37.2,22.3,48.2,37.8,40186,228,296,129,2232,1049,34246,8455,22240,46201,9272,978,3782,19665,20776,15101,8139,34369,31075,38269,30576,101216,9799,7487,7487,1348,1347,8543,86085,4598,15777,1752,7950000US0800200,100%,51.2%,48.8%,100%,51.3%,48.7%,100%,48.7%,100%,45.5%,54.5%,100%,42.4%,57.6%,100%,51.5%,48.5%,100%,40.7%,59.3%,100%,51.2%,48.8%,100%,51.6%,48.4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,10.4%,5.5%,23.8%,8.5%,65.8%,9.6%,100%,59.9%,129.6%,101.6%,100%,90.4%,111.3%,89%,100%,9.7%,7.4%,7.4%,1.3%,1.3%,8.4%
"Hayden School District RE-1, Colorado",08,,2704,1378,1326,2531,1306,1225,2531,7,1225,65,18,47,6,5,1,13,7,6,81,35,46,2286,1189,1097,286,135,151,44.7,46.1,-666666666.0,13.9,-666666666.0,-666666666.0,19.1,45.7,47.1,2612,31,111,18,13,1,178,16,0,0,245,0,5,0,13,23,2617,0,47,12,28,1364,6,6,551,32,4,129,49,390,69,28,12,0,5,40,16,24,44.7,36.7,49.5,41.9,1295,8,5,0,0,56,1129,194,612,1256,243,36,147,720,692,231,190,33110,28974,37950,-666666666,2702,284,199,199,0,5,34,2194,81,355,106,9700000US0804590,100%,51%,49%,100%,51.6%,48.4%,100%,48.4%,100%,27.7%,72.3%,100%,83.3%,16.7%,100%,53.8%,46.2%,100%,43.2%,56.8%,100%,52%,48%,100%,47.2%,52.8%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,5.8%,0.7%,23.4%,8.9%,70.8%,12.5%,100%,82.1%,110.7%,93.7%,100%,87.5%,114.6%,-2013490.4%,100%,10.5%,7.4%,7.4%,0%,0.2%,1.3%
"South Routt School District RE-3, Colorado",08,,3271,1696,1575,3041,1570,1471,3041,8,1471,33,4,29,20,4,16,131,100,31,26,10,16,2951,1548,1403,167,92,75,42.1,43.6,45.3,7.8,33.3,16.8,-666666666.0,43.3,29.4,3067,25,33,36,131,0,66,0,11,13,90,0,7,0,70,0,3141,9,36,28,57,1611,16,3,609,69,34,96,13,444,71,57,28,0,14,85,53,32,42.1,33.5,46.9,27.8,1481,0,30,4,86,10,1427,95,685,1495,406,42,145,747,658,562,327,31893,27356,37220,-666666666,3263,488,166,166,39,0,46,2661,57,435,79,9700000US0805910,100%,51.8%,48.2%,100%,51.6%,48.4%,100%,48.4%,100%,12.1%,87.9%,100%,20%,80%,100%,76.3%,23.7%,100%,38.5%,61.5%,100%,52.5%,47.5%,100%,55.1%,44.9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,11.3%,5.6%,15.8%,2.1%,72.9%,11.7%,100%,79.6%,111.4%,66%,100%,85.8%,116.7%,-2090322.8%,100%,15%,5.1%,5.1%,1.2%,0%,1.4%
"Steamboat Springs School District RE-2, Colorado",08,,18818,9791,9027,17948,9318,8630,17948,157,8630,52,22,30,233,84,149,272,141,131,143,69,74,16952,8917,8035,1287,578,709,38.9,39.5,37.5,54.3,42.9,20.1,18.9,41.2,28.6,18080,198,66,319,303,10,954,20,39,35,996,0,22,0,238,31,17149,42,294,652,681,5819,385,292,3349,326,248,320,89,2703,259,681,652,108,115,1333,621,712,38.9,19.8,48.6,37.0,5547,8,32,21,166,45,5058,664,5679,7964,1802,144,546,2132,3512,5114,2788,36092,30929,38993,31332,18532,1839,791,791,216,138,971,15869,563,2436,212,9700000US0806660,100%,52%,48%,100%,51.9%,48.1%,100%,48.1%,100%,42.3%,57.7%,100%,36.1%,63.9%,100%,51.8%,48.2%,100%,48.3%,51.7%,100%,52.6%,47.4%,100%,44.9%,55.1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,9.7%,7.4%,9.6%,2.7%,80.7%,7.7%,100%,50.9%,124.9%,95.1%,100%,85.7%,108%,86.8%,100%,9.9%,4.3%,4.3%,1.2%,0.7%,5.2%
